track_id,audio_path,n_gt_beats,n_pred_beats,n_gt_downbeats,n_pred_downbeats,infer_seconds,status,beat_F-measure,beat_Cemgil,beat_Goto,beat_P-score,beat_CMLc,beat_CMLt,beat_AMLc,beat_AMLt,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Goto,downbeat_P-score,downbeat_CMLc,downbeat_CMLt,downbeat_AMLc,downbeat_AMLt,downbeat_Information gain,time_signature,tempo
brownr-yesterdays-smithpbellsonl-1978-6357e74c,/scratch/rht9410/jtd_data/brownr-yesterdays-smithpbellsonl-1978-6357e74c.wav,123,125,31,31,0.134,ok,0.779816513761468,0.5536739951068287,1.0,0.6090909090909091,,,,,0.3101217859059608,0.8148148148148148,0.5745062768322337,1.0,1.0,,,,,0.5454476498702336,4,187.58563290226436
brownr-youaremysunshine-harrisghamiltonj-1991-f620b891,/scratch/rht9410/jtd_data/brownr-youaremysunshine-harrisghamiltonj-1991-f620b891.wav,320,318,80,79,0.334,ok,0.9528455284552846,0.8937593002920726,1.0,0.9545454545454546,,,,,0.4693980816394254,0.3660130718954248,0.3371836751114894,0.0,0.4025974025974026,,,,,0.6348198237810633,4,144.41728476911808
brownr-youremyeverything-greenbhutchinsong-1996-031d03c8,/scratch/rht9410/jtd_data/brownr-youremyeverything-greenbhutchinsong-1996-031d03c8.wav,468,470,117,118,0.965,ok,0.9647577092511012,0.8903675946347926,1.0,0.9604395604395604,,,,,0.4193802025961753,0.8281938325991189,0.7789828385913968,1.0,0.8596491228070176,,,,,0.6164617512110816,4,184.2552968426565
clarks-blackvelvet-merrittjlandersw-1958-b15b5849,/scratch/rht9410/jtd_data/clarks-blackvelvet-merrittjlandersw-1958-b15b5849.wav,156,156,39,44,0.202,ok,1.0,0.9233225915513305,1.0,1.0,,,,,0.7379666543168486,0.7105263157894738,0.6837302577787278,0.0,0.675,,,,,0.7535081768549691,4,106.67918477549026
clarks-bluesmambo-duviviergroachm-1959-2170b9c0,/scratch/rht9410/jtd_data/clarks-bluesmambo-duviviergroachm-1959-2170b9c0.wav,958,960,239,246,0.587,ok,0.998401704848162,0.9032162539634075,0.0,0.9978700745473909,,,,,0.472704888695512,0.9873417721518988,0.9300352598121208,1.0,0.975,,,,,0.7821636027786104,4,261.44903935281474
clarks-cantwebefriends-chambersplandersw-1958-a4c40b5c,/scratch/rht9410/jtd_data/clarks-cantwebefriends-chambersplandersw-1958-a4c40b5c.wav,255,255,64,69,0.286,ok,1.0,0.8487115454918195,1.0,1.0,,,,,0.6256824993313392,0.0944881889763779,0.0841070358849691,0.0,0.0909090909090909,,,,,0.7782313739992931,4,133.6250019617074
clarks-dancinginthedark-chambersplandersw-1958-f95cbb1f,/scratch/rht9410/jtd_data/clarks-dancinginthedark-chambersplandersw-1958-f95cbb1f.wav,375,376,94,128,0.338,ok,1.0,0.9591093149430948,1.0,1.0,,,,,0.6167215710968168,0.8411214953271028,0.8080419864993742,1.0,0.7258064516129032,,,,,0.7017425520588179,4,192.89617765215283
clarks-lovewalkedin-warewhayesl-1959-094c6354,/scratch/rht9410/jtd_data/clarks-lovewalkedin-warewhayesl-1959-094c6354.wav,506,508,127,128,0.502,ok,0.9888776541961576,0.9173409775752186,1.0,0.987878787878788,,,,,0.5456502347074625,0.9799196787148594,0.9098628623785388,1.0,0.984,,,,,0.7618789407023381,4,153.7219300937701
clarks-minormeeting-duviviergroachm-1959-1465ff0e,/scratch/rht9410/jtd_data/clarks-minormeeting-duviviergroachm-1959-1465ff0e.wav,398,398,100,105,0.23,ok,0.9893617021276596,0.8660018891816429,1.0,0.976063829787234,,,,,0.4178517579985585,0.8290155440414508,0.7871468841545064,0.0,0.8080808080808081,,,,,0.6485245914822234,4,266.09479338972284
clarks-nica-duviviergroachm-1959-beccaecc,/scratch/rht9410/jtd_data/clarks-nica-duviviergroachm-1959-beccaecc.wav,509,509,127,137,0.485,ok,0.9989929506545822,0.9315471417584068,1.0,0.9979879275653925,,,,,0.5519948620227605,0.875968992248062,0.8378206992718321,1.0,0.8432835820895522,,,,,0.7495501048052362,4,152.9532742193078
