track_id,ft_beat_F-measure,ft_downbeat_F-measure,ft_beat_Cemgil,ft_downbeat_Cemgil,bt_beat_F-measure,bt_downbeat_F-measure,bt_beat_Cemgil,bt_downbeat_Cemgil,mm_beat_F-measure,mm_downbeat_F-measure,mm_beat_Cemgil,mm_downbeat_Cemgil,delta_ft_minus_bt_beat_F-measure,delta_ft_minus_mm_beat_F-measure,delta_ft_minus_bt_downbeat_F-measure,delta_ft_minus_mm_downbeat_F-measure,delta_ft_minus_bt_beat_Cemgil,delta_ft_minus_mm_beat_Cemgil,delta_ft_minus_bt_downbeat_Cemgil,delta_ft_minus_mm_downbeat_Cemgil
evansb-allofyou-gomezezigmunde-1974-1324a29e,0.9507323568575232,0.4534005037783375,0.8630723091134647,0.4092542907722092,0.7692307692307693,0.4928571428571429,0.7138985083335209,0.4658362558605829,0.9933065595716196,0.935483870967742,0.9533481364520732,0.8887497674664219,0.18150158762675395,-0.0425742027140964,-0.03945663907880537,-0.4820833671894045,0.1491738007799438,-0.0902758273386085,-0.05658196508837371,-0.47949547669421266
evansb-always-peacockgmotianp-1963-6ccff543,1.0,0.6153846153846153,0.9665823402847744,0.5929811884870021,1.0,0.3720930232558139,0.9637556595681858,0.3565039267287717,1.0,1.0,0.9979022659870236,0.996503776645039,0.0,0.0,0.24329159212880141,-0.3846153846153847,0.0028266807165886476,-0.031319925702249174,0.23647726175823042,-0.4035225881580369
evansb-autumnleavestake2-lafarosmotianp-1960-5b35a288,1.0,0.6846846846846847,0.9736006228687396,0.6691361638607922,1.0,0.6701030927835051,0.97168887420352,0.6517908101738044,1.0,1.0,0.9932883948240984,0.9945921746255632,0.0,0.0,0.01458159190117958,-0.3153153153153153,0.0019117486652195925,-0.019687771955358757,0.017345353686987863,-0.32545601076477093
evansb-billshittune-johnsonmlabarberaj-1980-aadbd377,0.9902912621359222,0.4141176470588236,0.9518041088586434,0.3952388219412203,0.9658119658119658,0.144927536231884,0.92319086334941,0.1346455696611023,0.6555555555555556,0.5777777777777778,0.6491751293403971,0.5709569164767003,0.0244792963239564,0.33473570658036667,0.26919011082693955,-0.16366013071895424,0.028613245509233387,0.3026289795182463,0.260593252280118,-0.17571809453548004
evansb-dancinginthedark-peacockgmotianp-1963-49dc7466,1.0,0.7499999999999999,0.977085779000456,0.7334260267544397,0.927927927927928,1.0,0.8971109643776597,0.9645362170131764,1.0,1.0,0.9956322170716512,0.997528835617682,0.072072072072072,0.0,-0.2500000000000001,-0.2500000000000001,0.07997481462279632,-0.01854643807119516,-0.2311101902587367,-0.26410280886324233
evansb-gloriassteptake1interrupted-lafarosmotianp-1961-af9c1ed7,0.9929078014184396,0.8571428571428571,0.9708877567706544,0.8410269323447507,0.9929078014184396,1.0,0.9645132911349364,0.9692873303751364,0.9929078014184396,1.0,0.9920349853752156,1.0,0.0,0.0,-0.1428571428571429,-0.1428571428571429,0.006374465635717974,-0.021147228604561197,-0.1282603980303857,-0.15897306765524932
evansb-howdeepistheocean-gomezemorellm-1969-29cee7e1,0.9820689655172414,0.4861878453038674,0.9501030310985684,0.469689650601887,0.8637059724349158,0.9723756906077348,0.8427507215626189,0.951691469132087,0.8664596273291925,0.4347826086956522,0.8507196842296187,0.4184492995908246,0.11836299308232567,0.11560933818804897,-0.4861878453038674,0.051405236608215166,0.10735230953594954,0.09938334686894967,-0.4820018185302,0.05124035101106239
evansb-imgettingsentimentaloveryou-gomezemannes-1966-03f514ac,1.0,1.0,0.9722043353763394,0.973112642482302,1.0,1.0,0.9674935149717984,0.9630478480389366,1.0,1.0,0.989380729340908,0.989386610609852,0.0,0.0,0.0,0.0,0.004710820404541072,-0.017176393964568604,0.010064794443365388,-0.016273968127549998
evansb-likesomeoneinlove-johnsonmlabarberaj-1980-25a4a296,0.926694329183956,0.3629893238434164,0.8559278030479358,0.3419978218730387,0.8604992657856094,0.13,0.8041199908168305,0.1118910678497117,0.9362880886426592,0.1111111111111111,0.8862958913647573,0.1027828776725113,0.06619506339834658,-0.009593759458703222,0.23298932384341642,0.2518782127323053,0.05180781223110531,-0.030368088316821473,0.23010675402332698,0.23921494420052736
evansb-loveisheretostay-israelscbunkerl-1966-a67e8975,1.0,0.7536231884057971,0.9637345598403084,0.7366791726101599,1.0,1.0,0.9620669292206327,0.9692706854831996,1.0,1.0,0.9959118196860388,0.9964499885934252,0.0,0.0,-0.24637681159420288,-0.24637681159420288,0.0016676306196756752,-0.03217725984573039,-0.2325915128730397,-0.25977081598326524
