track_id,audio_path,n_gt_beats,n_pred_beats,n_gt_downbeats,n_pred_downbeats,infer_seconds,status,beat_F-measure,beat_Cemgil,beat_Goto,beat_P-score,beat_CMLc,beat_CMLt,beat_AMLc,beat_AMLt,beat_Information gain,downbeat_F-measure,downbeat_Cemgil,downbeat_Goto,downbeat_P-score,downbeat_CMLc,downbeat_CMLt,downbeat_AMLc,downbeat_AMLt,downbeat_Information gain,time_signature
jonesh-lullabyoftheleaves-hintonmrosengardenb-1977-5b51d182,/scratch/rht9410/jtd_data/jonesh-lullabyoftheleaves-hintonmrosengardenb-1977-5b51d182.wav,129,129,32,32,0.121,ok,1.0,0.9340809472169114,1.0,1.0,1.0,1.0,1.0,1.0,0.6981577476023948,1.0,0.9106203335329024,1.0,1.0,1.0,1.0,1.0,1.0,0.8919665877002757,4
jonesh-moosethemooche-duviviergrileyb-1977-7e5dce4e,/scratch/rht9410/jtd_data/jonesh-moosethemooche-duviviergrileyb-1977-7e5dce4e.wav,640,640,160,173,0.277,ok,1.0,0.9723780933271364,1.0,1.0,1.0,1.0,1.0,1.0,0.5643810098787597,0.9411764705882352,0.9164206688217078,1.0,0.9047619047619048,0.4761904761904761,0.8273809523809523,0.4761904761904761,0.8273809523809523,0.813909936156734,4
jonesh-moosethemooche-mrazgwashingtonk-1991-59ebe1f1,/scratch/rht9410/jtd_data/jonesh-moosethemooche-mrazgwashingtonk-1991-59ebe1f1.wav,246,245,61,63,0.147,ok,0.991150442477876,0.9457732284125352,1.0,0.986784140969163,0.4361233480176211,0.973568281938326,0.4361233480176211,0.973568281938326,0.5756310253771029,0.0,4.5094192712564596e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.8600862377792421,4
jonesh-nowsthetime-eckingeribongk-1977-52c8d96b,/scratch/rht9410/jtd_data/jonesh-nowsthetime-eckingeribongk-1977-52c8d96b.wav,429,430,107,107,0.214,ok,1.0,0.9489488919823996,1.0,1.0,1.0,1.0,1.0,1.0,0.5837021038760082,1.0,0.9531790593868787,1.0,1.0,1.0,1.0,1.0,1.0,0.8186762522367218,4
jonesh-opusdefunk-wongdpearsonl-2010-a8c956eb,/scratch/rht9410/jtd_data/jonesh-opusdefunk-wongdpearsonl-2010-a8c956eb.wav,143,144,36,36,0.14,ok,0.9962264150943396,0.9194231207970844,1.0,0.9924812030075189,0.9924812030075189,0.9924812030075189,0.9924812030075189,0.9924812030075189,0.5906298054677583,1.0,0.928245759791504,1.0,1.0,1.0,1.0,1.0,1.0,0.9384334356581464,4
jonesh-relaxinwithlee-duviviergrileyb-1977-33043105,/scratch/rht9410/jtd_data/jonesh-relaxinwithlee-duviviergrileyb-1977-33043105.wav,446,446,112,113,0.202,ok,1.0,0.9706746756228486,1.0,1.0,1.0,1.0,1.0,1.0,0.5568930447736057,0.9953488372093025,0.9630657048103124,1.0,0.9907407407407408,0.6944444444444444,0.9814814814814816,0.6944444444444444,0.9814814814814816,0.8787238289247035,4
jonesh-reunion-hintonmrosengardenb-1977-9b2ec5e0,/scratch/rht9410/jtd_data/jonesh-reunion-hintonmrosengardenb-1977-9b2ec5e0.wav,381,382,95,104,0.185,ok,1.0,0.9586588275600036,1.0,1.0,1.0,1.0,1.0,1.0,0.5838535540790445,0.9578947368421054,0.915564669335576,0.0,0.9191919191919192,0.4646464646464646,0.8383838383838383,0.4646464646464646,0.8383838383838383,0.8017069509654171,4
jonesh-rockininrhythm-brownrsmithj-1989-6f5e62d3,/scratch/rht9410/jtd_data/jonesh-rockininrhythm-brownrsmithj-1989-6f5e62d3.wav,379,379,95,95,0.178,ok,1.0,0.970886722158542,1.0,1.0,1.0,1.0,1.0,1.0,0.6136286326387587,1.0,0.9680532931815324,1.0,1.0,1.0,1.0,1.0,1.0,0.8868359514898686,4
jonesh-scrapplefromtheapple-mrazgwashingtonk-1991-56f2b4cf,/scratch/rht9410/jtd_data/jonesh-scrapplefromtheapple-mrazgwashingtonk-1991-56f2b4cf.wav,381,382,95,95,0.179,ok,0.9986282578875172,0.9479344883499426,1.0,0.9972602739726028,0.9972602739726028,0.9972602739726028,0.9972602739726028,0.9972602739726028,0.579595990670416,1.0,0.9505947333577482,1.0,1.0,1.0,1.0,1.0,1.0,0.8298892470652715,4
jonesh-speaklow-hollanddcopelandk-1989-ff7fa594,/scratch/rht9410/jtd_data/jonesh-speaklow-hollanddcopelandk-1989-ff7fa594.wav,218,155,55,55,0.14,ok,0.8259587020648969,0.8004132264611971,0.0,0.7035175879396985,0.1708542713567839,0.4120603015075377,0.1708542713567839,0.4214285714285714,0.4333210184585664,1.0,0.9698091054678292,1.0,1.0,1.0,1.0,1.0,1.0,0.90119351807858,4
jonesh-speaklow-mcbrideccobbj-2006-53d6b837,/scratch/rht9410/jtd_data/jonesh-speaklow-mcbrideccobbj-2006-53d6b837.wav,448,448,112,113,0.259,ok,1.0,0.9636597125195372,1.0,1.0,1.0,1.0,1.0,1.0,0.5181555284705673,0.0,6.778519639557126e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.8230108376671426,4
jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7,/scratch/rht9410/jtd_data/jonesh-stellabystarlight-mcbrideccobbj-2006-0b84c1a7.wav,130,130,32,38,0.102,ok,1.0,0.968964279485978,1.0,1.0,1.0,1.0,1.0,1.0,0.5973131575568709,0.8709677419354839,0.8504847049471508,0.0,0.7941176470588235,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.7687571821670036,4
jonesh-swonderful-hintonmrosengardenb-1977-d3373c2a,/scratch/rht9410/jtd_data/jonesh-swonderful-hintonmrosengardenb-1977-d3373c2a.wav,509,509,127,130,0.179,ok,1.0,0.9381153265157828,1.0,0.995893223819302,0.2422997946611909,0.9507186858316222,0.2422997946611909,0.9507186858316222,0.5358247732981354,0.9877551020408164,0.9627220562222212,1.0,0.9758064516129032,0.4758064516129032,0.9516129032258064,0.4758064516129032,0.9516129032258064,0.8852311853023663,4
jonesh-theresasmallhotel-eckingeribongk-1977-4197b08b,/scratch/rht9410/jtd_data/jonesh-theresasmallhotel-eckingeribongk-1977-4197b08b.wav,384,384,96,98,0.175,ok,1.0,0.9493349175227964,1.0,1.0,1.0,1.0,1.0,1.0,0.5611086846770932,0.9891304347826088,0.937714602319772,1.0,0.978494623655914,0.7634408602150538,0.956989247311828,0.7634408602150538,0.956989247311828,0.766532445768411,4
jonesh-thingsaintwhattheyused-drummondrhigginsb-1990-4a0846a7,/scratch/rht9410/jtd_data/jonesh-thingsaintwhattheyused-drummondrhigginsb-1990-4a0846a7.wav,186,144,47,46,0.146,ok,0.5401929260450161,0.5105657451368759,0.0,0.4772727272727273,0.0511363636363636,0.2443181818181818,0.0511363636363636,0.2443181818181818,0.3239994902487856,0.2352941176470588,0.2220714207882481,0.0,0.2727272727272727,0.0227272727272727,0.0454545454545454,0.0232558139534883,0.0697674418604651,0.3124572498404726,4
